PartNumber: 798   x_left_coord: 9, x_right_coord: 12, y_coord: 0
PartNumber: 861   x_left_coord: 101, x_right_coord: 104, y_coord: 5
PartNumber: 243   x_left_coord: 109, x_right_coord: 112, y_coord: 5
PartNumber: 438   x_left_coord: 122, x_right_coord: 125, y_coord: 5
PartNumber: 854   x_left_coord: 35, x_right_coord: 38, y_coord: 6
PartNumber: 979   x_left_coord: 42, x_right_coord: 45, y_coord: 6
PartNumber: 177   x_left_coord: 49, x_right_coord: 52, y_coord: 6
PartNumber: 280   x_left_coord: 69, x_right_coord: 72, y_coord: 6
PartNumber: 138   x_left_coord: 74, x_right_coord: 77, y_coord: 6
PartNumber: 158   x_left_coord: 93, x_right_coord: 96, y_coord: 6
PartNumber: 241   x_left_coord: 97, x_right_coord: 100, y_coord: 6
PartNumber: 904   x_left_coord: 129, x_right_coord: 132, y_coord: 6
PartNumber: 427   x_left_coord: 7, x_right_coord: 10, y_coord: 7
PartNumber: 683   x_left_coord: 54, x_right_coord: 57, y_coord: 7
PartNumber: 726   x_left_coord: 59, x_right_coord: 62, y_coord: 7
PartNumber: 303   x_left_coord: 65, x_right_coord: 68, y_coord: 7
PartNumber: 905   x_left_coord: 84, x_right_coord: 87, y_coord: 7
PartNumber: 115   x_left_coord: 113, x_right_coord: 116, y_coord: 7
PartNumber: 412   x_left_coord: 121, x_right_coord: 124, y_coord: 7
PartNumber: 479   x_left_coord: 125, x_right_coord: 128, y_coord: 7
PartNumber: 491   x_left_coord: 133, x_right_coord: 136, y_coord: 7
PartNumber: 989   x_left_coord: 19, x_right_coord: 22, y_coord: 8
PartNumber: 888   x_left_coord: 28, x_right_coord: 31, y_coord: 8
PartNumber: 226   x_left_coord: 69, x_right_coord: 72, y_coord: 8
PartNumber: 922   x_left_coord: 76, x_right_coord: 79, y_coord: 8
PartNumber: 172   x_left_coord: 80, x_right_coord: 83, y_coord: 8
PartNumber: 702   x_left_coord: 90, x_right_coord: 93, y_coord: 8
PartNumber: 693   x_left_coord: 94, x_right_coord: 97, y_coord: 8
PartNumber: 543   x_left_coord: 108, x_right_coord: 111, y_coord: 8
PartNumber: 924   x_left_coord: 2, x_right_coord: 5, y_coord: 9
PartNumber: 219   x_left_coord: 7, x_right_coord: 10, y_coord: 9
PartNumber: 979   x_left_coord: 36, x_right_coord: 39, y_coord: 9
PartNumber: 191   x_left_coord: 51, x_right_coord: 54, y_coord: 9
PartNumber: 323   x_left_coord: 86, x_right_coord: 89, y_coord: 9
PartNumber: 777   x_left_coord: 125, x_right_coord: 128, y_coord: 9
PartNumber: 109   x_left_coord: 20, x_right_coord: 23, y_coord: 10
PartNumber: 559   x_left_coord: 47, x_right_coord: 50, y_coord: 10
PartNumber: 835   x_left_coord: 55, x_right_coord: 58, y_coord: 10
PartNumber: 708   x_left_coord: 63, x_right_coord: 66, y_coord: 10
PartNumber: 989   x_left_coord: 74, x_right_coord: 77, y_coord: 10
PartNumber: 685   x_left_coord: 79, x_right_coord: 82, y_coord: 10
PartNumber: 915   x_left_coord: 130, x_right_coord: 133, y_coord: 10
PartNumber: 751   x_left_coord: 59, x_right_coord: 62, y_coord: 11
PartNumber: 886   x_left_coord: 70, x_right_coord: 73, y_coord: 11
PartNumber: 243   x_left_coord: 89, x_right_coord: 92, y_coord: 11
PartNumber: 154   x_left_coord: 99, x_right_coord: 102, y_coord: 11
PartNumber: 922   x_left_coord: 105, x_right_coord: 108, y_coord: 11
PartNumber: 347   x_left_coord: 111, x_right_coord: 114, y_coord: 11
PartNumber: 923   x_left_coord: 6, x_right_coord: 9, y_coord: 12
PartNumber: 571   x_left_coord: 24, x_right_coord: 27, y_coord: 12
PartNumber: 672   x_left_coord: 34, x_right_coord: 37, y_coord: 12
PartNumber: 963   x_left_coord: 41, x_right_coord: 44, y_coord: 12
PartNumber: 471   x_left_coord: 45, x_right_coord: 48, y_coord: 12
PartNumber: 154   x_left_coord: 55, x_right_coord: 58, y_coord: 12
PartNumber: 914   x_left_coord: 93, x_right_coord: 96, y_coord: 12
PartNumber: 891   x_left_coord: 121, x_right_coord: 124, y_coord: 12
PartNumber: 73   x_left_coord: 133, x_right_coord: 135, y_coord: 12
PartNumber: 212   x_left_coord: 136, x_right_coord: 139, y_coord: 12
PartNumber: 654   x_left_coord: 16, x_right_coord: 19, y_coord: 13
PartNumber: 309   x_left_coord: 29, x_right_coord: 32, y_coord: 13
PartNumber: 543   x_left_coord: 50, x_right_coord: 53, y_coord: 13
PartNumber: 583   x_left_coord: 62, x_right_coord: 65, y_coord: 13
PartNumber: 871   x_left_coord: 69, x_right_coord: 72, y_coord: 13
PartNumber: 551   x_left_coord: 102, x_right_coord: 105, y_coord: 13
PartNumber: 370   x_left_coord: 108, x_right_coord: 111, y_coord: 13
PartNumber: 492   x_left_coord: 125, x_right_coord: 128, y_coord: 13
PartNumber: 618   x_left_coord: 2, x_right_coord: 5, y_coord: 14
PartNumber: 60   x_left_coord: 10, x_right_coord: 12, y_coord: 14
PartNumber: 426   x_left_coord: 37, x_right_coord: 40, y_coord: 14
PartNumber: 645   x_left_coord: 45, x_right_coord: 48, y_coord: 14
PartNumber: 203   x_left_coord: 73, x_right_coord: 76, y_coord: 14
PartNumber: 310   x_left_coord: 78, x_right_coord: 81, y_coord: 14
PartNumber: 166   x_left_coord: 98, x_right_coord: 101, y_coord: 14
PartNumber: 477   x_left_coord: 112, x_right_coord: 115, y_coord: 14
PartNumber: 150   x_left_coord: 133, x_right_coord: 136, y_coord: 14
PartNumber: 353   x_left_coord: 6, x_right_coord: 9, y_coord: 15
PartNumber: 381   x_left_coord: 15, x_right_coord: 18, y_coord: 15
PartNumber: 416   x_left_coord: 28, x_right_coord: 31, y_coord: 15
PartNumber: 19   x_left_coord: 41, x_right_coord: 43, y_coord: 15
PartNumber: 536   x_left_coord: 49, x_right_coord: 52, y_coord: 15
PartNumber: 312   x_left_coord: 61, x_right_coord: 64, y_coord: 15
PartNumber: 790   x_left_coord: 69, x_right_coord: 72, y_coord: 15
PartNumber: 779   x_left_coord: 86, x_right_coord: 89, y_coord: 15
PartNumber: 985   x_left_coord: 116, x_right_coord: 119, y_coord: 15
PartNumber: 761   x_left_coord: 137, x_right_coord: 140, y_coord: 15
PartNumber: 636   x_left_coord: 24, x_right_coord: 27, y_coord: 16
PartNumber: 238   x_left_coord: 34, x_right_coord: 37, y_coord: 16
PartNumber: 576   x_left_coord: 56, x_right_coord: 59, y_coord: 16
PartNumber: 899   x_left_coord: 73, x_right_coord: 76, y_coord: 16
PartNumber: 460   x_left_coord: 92, x_right_coord: 95, y_coord: 16
PartNumber: 841   x_left_coord: 96, x_right_coord: 99, y_coord: 16
PartNumber: 829   x_left_coord: 101, x_right_coord: 104, y_coord: 16
PartNumber: 415   x_left_coord: 105, x_right_coord: 108, y_coord: 16
PartNumber: 271   x_left_coord: 111, x_right_coord: 114, y_coord: 16
PartNumber: 168   x_left_coord: 122, x_right_coord: 125, y_coord: 16
PartNumber: 77   x_left_coord: 126, x_right_coord: 128, y_coord: 16
PartNumber: 427   x_left_coord: 10, x_right_coord: 13, y_coord: 17
PartNumber: 75   x_left_coord: 65, x_right_coord: 67, y_coord: 17
PartNumber: 789   x_left_coord: 81, x_right_coord: 84, y_coord: 17
PartNumber: 942   x_left_coord: 87, x_right_coord: 90, y_coord: 17
PartNumber: 795   x_left_coord: 115, x_right_coord: 118, y_coord: 17
PartNumber: 73   x_left_coord: 132, x_right_coord: 134, y_coord: 17
PartNumber: 863   x_left_coord: 4, x_right_coord: 7, y_coord: 18
PartNumber: 920   x_left_coord: 31, x_right_coord: 34, y_coord: 18
PartNumber: 152   x_left_coord: 45, x_right_coord: 48, y_coord: 18
PartNumber: 852   x_left_coord: 53, x_right_coord: 56, y_coord: 18
PartNumber: 387   x_left_coord: 57, x_right_coord: 60, y_coord: 18
PartNumber: 990   x_left_coord: 69, x_right_coord: 72, y_coord: 18
PartNumber: 563   x_left_coord: 77, x_right_coord: 80, y_coord: 18
PartNumber: 629   x_left_coord: 92, x_right_coord: 95, y_coord: 18
PartNumber: 772   x_left_coord: 103, x_right_coord: 106, y_coord: 18
PartNumber: 912   x_left_coord: 110, x_right_coord: 113, y_coord: 18
PartNumber: 283   x_left_coord: 125, x_right_coord: 128, y_coord: 18
PartNumber: 837   x_left_coord: 0, x_right_coord: 3, y_coord: 19
PartNumber: 897   x_left_coord: 11, x_right_coord: 14, y_coord: 19
PartNumber: 674   x_left_coord: 21, x_right_coord: 24, y_coord: 19
PartNumber: 966   x_left_coord: 27, x_right_coord: 30, y_coord: 19
PartNumber: 621   x_left_coord: 37, x_right_coord: 40, y_coord: 19
PartNumber: 77   x_left_coord: 42, x_right_coord: 44, y_coord: 19
PartNumber: 571   x_left_coord: 81, x_right_coord: 84, y_coord: 19
PartNumber: 272   x_left_coord: 87, x_right_coord: 90, y_coord: 19
PartNumber: 566   x_left_coord: 99, x_right_coord: 102, y_coord: 19
PartNumber: 16   x_left_coord: 107, x_right_coord: 109, y_coord: 19
PartNumber: 936   x_left_coord: 115, x_right_coord: 118, y_coord: 19
PartNumber: 980   x_left_coord: 130, x_right_coord: 133, y_coord: 19
PartNumber: 424   x_left_coord: 73, x_right_coord: 76, y_coord: 20
PartNumber: 53   x_left_coord: 96, x_right_coord: 98, y_coord: 20
PartNumber: 203   x_left_coord: 122, x_right_coord: 125, y_coord: 20
PartNumber: 826   x_left_coord: 3, x_right_coord: 6, y_coord: 21
PartNumber: 781   x_left_coord: 7, x_right_coord: 10, y_coord: 21
PartNumber: 105   x_left_coord: 15, x_right_coord: 18, y_coord: 21
PartNumber: 771   x_left_coord: 28, x_right_coord: 31, y_coord: 21
PartNumber: 982   x_left_coord: 32, x_right_coord: 35, y_coord: 21
PartNumber: 967   x_left_coord: 47, x_right_coord: 50, y_coord: 21
PartNumber: 40   x_left_coord: 56, x_right_coord: 58, y_coord: 21
PartNumber: 223   x_left_coord: 59, x_right_coord: 62, y_coord: 21
PartNumber: 71   x_left_coord: 83, x_right_coord: 85, y_coord: 21
PartNumber: 123   x_left_coord: 100, x_right_coord: 103, y_coord: 21
PartNumber: 998   x_left_coord: 137, x_right_coord: 140, y_coord: 21
PartNumber: 64   x_left_coord: 20, x_right_coord: 22, y_coord: 22
PartNumber: 562   x_left_coord: 23, x_right_coord: 26, y_coord: 22
PartNumber: 382   x_left_coord: 42, x_right_coord: 45, y_coord: 22
PartNumber: 866   x_left_coord: 67, x_right_coord: 70, y_coord: 22
PartNumber: 276   x_left_coord: 75, x_right_coord: 78, y_coord: 22
PartNumber: 750   x_left_coord: 92, x_right_coord: 95, y_coord: 22
PartNumber: 975   x_left_coord: 96, x_right_coord: 99, y_coord: 22
PartNumber: 878   x_left_coord: 110, x_right_coord: 113, y_coord: 22
PartNumber: 156   x_left_coord: 115, x_right_coord: 118, y_coord: 22
PartNumber: 188   x_left_coord: 128, x_right_coord: 131, y_coord: 22
PartNumber: 38   x_left_coord: 11, x_right_coord: 13, y_coord: 23
PartNumber: 937   x_left_coord: 28, x_right_coord: 31, y_coord: 23
PartNumber: 142   x_left_coord: 50, x_right_coord: 53, y_coord: 23
PartNumber: 712   x_left_coord: 63, x_right_coord: 66, y_coord: 23
PartNumber: 619   x_left_coord: 80, x_right_coord: 83, y_coord: 23
PartNumber: 734   x_left_coord: 86, x_right_coord: 89, y_coord: 23
PartNumber: 424   x_left_coord: 101, x_right_coord: 104, y_coord: 23
PartNumber: 746   x_left_coord: 4, x_right_coord: 7, y_coord: 24
PartNumber: 868   x_left_coord: 34, x_right_coord: 37, y_coord: 24
PartNumber: 881   x_left_coord: 46, x_right_coord: 49, y_coord: 24
PartNumber: 832   x_left_coord: 110, x_right_coord: 113, y_coord: 24
PartNumber: 649   x_left_coord: 121, x_right_coord: 124, y_coord: 24
PartNumber: 181   x_left_coord: 135, x_right_coord: 138, y_coord: 24
PartNumber: 637   x_left_coord: 12, x_right_coord: 15, y_coord: 25
PartNumber: 478   x_left_coord: 18, x_right_coord: 21, y_coord: 25
PartNumber: 628   x_left_coord: 25, x_right_coord: 28, y_coord: 25
PartNumber: 651   x_left_coord: 40, x_right_coord: 43, y_coord: 25
PartNumber: 399   x_left_coord: 71, x_right_coord: 74, y_coord: 25
PartNumber: 396   x_left_coord: 77, x_right_coord: 80, y_coord: 25
PartNumber: 293   x_left_coord: 96, x_right_coord: 99, y_coord: 25
PartNumber: 472   x_left_coord: 100, x_right_coord: 103, y_coord: 25
PartNumber: 960   x_left_coord: 115, x_right_coord: 118, y_coord: 25
PartNumber: 988   x_left_coord: 128, x_right_coord: 131, y_coord: 25
PartNumber: 693   x_left_coord: 4, x_right_coord: 7, y_coord: 26
PartNumber: 711   x_left_coord: 44, x_right_coord: 47, y_coord: 26
PartNumber: 99   x_left_coord: 48, x_right_coord: 50, y_coord: 26
PartNumber: 489   x_left_coord: 51, x_right_coord: 54, y_coord: 26
PartNumber: 878   x_left_coord: 55, x_right_coord: 58, y_coord: 26
PartNumber: 541   x_left_coord: 62, x_right_coord: 65, y_coord: 26
PartNumber: 565   x_left_coord: 92, x_right_coord: 95, y_coord: 26
PartNumber: 32   x_left_coord: 107, x_right_coord: 109, y_coord: 26
PartNumber: 710   x_left_coord: 111, x_right_coord: 114, y_coord: 26
PartNumber: 499   x_left_coord: 120, x_right_coord: 123, y_coord: 26
PartNumber: 888   x_left_coord: 135, x_right_coord: 138, y_coord: 26
PartNumber: 681   x_left_coord: 20, x_right_coord: 23, y_coord: 27
PartNumber: 59   x_left_coord: 24, x_right_coord: 26, y_coord: 27
PartNumber: 442   x_left_coord: 27, x_right_coord: 30, y_coord: 27
PartNumber: 368   x_left_coord: 35, x_right_coord: 38, y_coord: 27
PartNumber: 974   x_left_coord: 84, x_right_coord: 87, y_coord: 27
PartNumber: 677   x_left_coord: 0, x_right_coord: 3, y_coord: 28
PartNumber: 924   x_left_coord: 7, x_right_coord: 10, y_coord: 28
PartNumber: 797   x_left_coord: 16, x_right_coord: 19, y_coord: 28
PartNumber: 964   x_left_coord: 39, x_right_coord: 42, y_coord: 28
PartNumber: 666   x_left_coord: 48, x_right_coord: 51, y_coord: 28
PartNumber: 89   x_left_coord: 68, x_right_coord: 70, y_coord: 28
PartNumber: 309   x_left_coord: 76, x_right_coord: 79, y_coord: 28
PartNumber: 324   x_left_coord: 96, x_right_coord: 99, y_coord: 28
PartNumber: 179   x_left_coord: 100, x_right_coord: 103, y_coord: 28
PartNumber: 437   x_left_coord: 113, x_right_coord: 116, y_coord: 28
PartNumber: 235   x_left_coord: 123, x_right_coord: 126, y_coord: 28
PartNumber: 321   x_left_coord: 127, x_right_coord: 130, y_coord: 28
PartNumber: 678   x_left_coord: 133, x_right_coord: 136, y_coord: 28
PartNumber: 5   x_left_coord: 30, x_right_coord: 31, y_coord: 29
PartNumber: 23   x_left_coord: 61, x_right_coord: 63, y_coord: 29
PartNumber: 328   x_left_coord: 87, x_right_coord: 90, y_coord: 29
PartNumber: 564   x_left_coord: 92, x_right_coord: 95, y_coord: 29
PartNumber: 392   x_left_coord: 104, x_right_coord: 107, y_coord: 29
PartNumber: 298   x_left_coord: 3, x_right_coord: 6, y_coord: 30
PartNumber: 811   x_left_coord: 12, x_right_coord: 15, y_coord: 30
PartNumber: 976   x_left_coord: 24, x_right_coord: 27, y_coord: 30
PartNumber: 400   x_left_coord: 47, x_right_coord: 50, y_coord: 30
PartNumber: 140   x_left_coord: 53, x_right_coord: 56, y_coord: 30
PartNumber: 893   x_left_coord: 68, x_right_coord: 71, y_coord: 30
PartNumber: 682   x_left_coord: 110, x_right_coord: 113, y_coord: 30
PartNumber: 345   x_left_coord: 118, x_right_coord: 121, y_coord: 30
PartNumber: 726   x_left_coord: 134, x_right_coord: 137, y_coord: 30
PartNumber: 570   x_left_coord: 30, x_right_coord: 33, y_coord: 31
PartNumber: 839   x_left_coord: 34, x_right_coord: 37, y_coord: 31
PartNumber: 828   x_left_coord: 59, x_right_coord: 62, y_coord: 31
PartNumber: 59   x_left_coord: 81, x_right_coord: 83, y_coord: 31
PartNumber: 373   x_left_coord: 87, x_right_coord: 90, y_coord: 31
PartNumber: 558   x_left_coord: 101, x_right_coord: 104, y_coord: 31
PartNumber: 271   x_left_coord: 106, x_right_coord: 109, y_coord: 31
PartNumber: 751   x_left_coord: 128, x_right_coord: 131, y_coord: 31
PartNumber: 570   x_left_coord: 5, x_right_coord: 8, y_coord: 32
PartNumber: 353   x_left_coord: 19, x_right_coord: 22, y_coord: 32
PartNumber: 674   x_left_coord: 23, x_right_coord: 26, y_coord: 32
PartNumber: 636   x_left_coord: 39, x_right_coord: 42, y_coord: 32
PartNumber: 659   x_left_coord: 50, x_right_coord: 53, y_coord: 32
PartNumber: 647   x_left_coord: 67, x_right_coord: 70, y_coord: 32
PartNumber: 226   x_left_coord: 75, x_right_coord: 78, y_coord: 32
PartNumber: 684   x_left_coord: 95, x_right_coord: 98, y_coord: 32
PartNumber: 139   x_left_coord: 113, x_right_coord: 116, y_coord: 32
PartNumber: 290   x_left_coord: 119, x_right_coord: 122, y_coord: 32
PartNumber: 401   x_left_coord: 124, x_right_coord: 127, y_coord: 32
PartNumber: 290   x_left_coord: 135, x_right_coord: 138, y_coord: 32
PartNumber: 231   x_left_coord: 27, x_right_coord: 30, y_coord: 33
PartNumber: 80   x_left_coord: 45, x_right_coord: 47, y_coord: 33
PartNumber: 112   x_left_coord: 58, x_right_coord: 61, y_coord: 33
PartNumber: 892   x_left_coord: 81, x_right_coord: 84, y_coord: 33
PartNumber: 605   x_left_coord: 90, x_right_coord: 93, y_coord: 33
PartNumber: 247   x_left_coord: 108, x_right_coord: 111, y_coord: 33
PartNumber: 165   x_left_coord: 0, x_right_coord: 3, y_coord: 34
PartNumber: 329   x_left_coord: 12, x_right_coord: 15, y_coord: 34
PartNumber: 94   x_left_coord: 17, x_right_coord: 19, y_coord: 34
PartNumber: 254   x_left_coord: 20, x_right_coord: 23, y_coord: 34
PartNumber: 115   x_left_coord: 33, x_right_coord: 36, y_coord: 34
PartNumber: 938   x_left_coord: 51, x_right_coord: 54, y_coord: 34
PartNumber: 192   x_left_coord: 71, x_right_coord: 74, y_coord: 34
PartNumber: 58   x_left_coord: 97, x_right_coord: 99, y_coord: 34
PartNumber: 786   x_left_coord: 119, x_right_coord: 122, y_coord: 34
PartNumber: 328   x_left_coord: 127, x_right_coord: 130, y_coord: 34
PartNumber: 59   x_left_coord: 132, x_right_coord: 134, y_coord: 34
PartNumber: 285   x_left_coord: 136, x_right_coord: 139, y_coord: 34
PartNumber: 98   x_left_coord: 9, x_right_coord: 11, y_coord: 35
PartNumber: 895   x_left_coord: 41, x_right_coord: 44, y_coord: 35
PartNumber: 459   x_left_coord: 66, x_right_coord: 69, y_coord: 35
PartNumber: 399   x_left_coord: 87, x_right_coord: 90, y_coord: 35
PartNumber: 641   x_left_coord: 92, x_right_coord: 95, y_coord: 35
PartNumber: 285   x_left_coord: 113, x_right_coord: 116, y_coord: 35
PartNumber: 455   x_left_coord: 18, x_right_coord: 21, y_coord: 36
PartNumber: 429   x_left_coord: 22, x_right_coord: 25, y_coord: 36
PartNumber: 794   x_left_coord: 37, x_right_coord: 40, y_coord: 36
PartNumber: 512   x_left_coord: 62, x_right_coord: 65, y_coord: 36
PartNumber: 770   x_left_coord: 71, x_right_coord: 74, y_coord: 36
PartNumber: 448   x_left_coord: 79, x_right_coord: 82, y_coord: 36
PartNumber: 336   x_left_coord: 129, x_right_coord: 132, y_coord: 36
PartNumber: 175   x_left_coord: 133, x_right_coord: 136, y_coord: 36
PartNumber: 277   x_left_coord: 13, x_right_coord: 16, y_coord: 37
PartNumber: 763   x_left_coord: 48, x_right_coord: 51, y_coord: 37
PartNumber: 254   x_left_coord: 66, x_right_coord: 69, y_coord: 37
PartNumber: 143   x_left_coord: 95, x_right_coord: 98, y_coord: 37
PartNumber: 495   x_left_coord: 101, x_right_coord: 104, y_coord: 37
PartNumber: 676   x_left_coord: 114, x_right_coord: 117, y_coord: 37
PartNumber: 272   x_left_coord: 7, x_right_coord: 10, y_coord: 38
PartNumber: 711   x_left_coord: 38, x_right_coord: 41, y_coord: 38
PartNumber: 911   x_left_coord: 43, x_right_coord: 46, y_coord: 38
PartNumber: 614   x_left_coord: 55, x_right_coord: 58, y_coord: 38
PartNumber: 516   x_left_coord: 60, x_right_coord: 63, y_coord: 38
PartNumber: 747   x_left_coord: 75, x_right_coord: 78, y_coord: 38
PartNumber: 389   x_left_coord: 79, x_right_coord: 82, y_coord: 38
PartNumber: 803   x_left_coord: 87, x_right_coord: 90, y_coord: 38
PartNumber: 832   x_left_coord: 106, x_right_coord: 109, y_coord: 38
PartNumber: 905   x_left_coord: 121, x_right_coord: 124, y_coord: 38
PartNumber: 576   x_left_coord: 128, x_right_coord: 131, y_coord: 38
PartNumber: 625   x_left_coord: 0, x_right_coord: 3, y_coord: 39
PartNumber: 595   x_left_coord: 20, x_right_coord: 23, y_coord: 39
PartNumber: 989   x_left_coord: 29, x_right_coord: 32, y_coord: 39
PartNumber: 291   x_left_coord: 47, x_right_coord: 50, y_coord: 39
PartNumber: 201   x_left_coord: 94, x_right_coord: 97, y_coord: 39
PartNumber: 528   x_left_coord: 110, x_right_coord: 113, y_coord: 39
PartNumber: 722   x_left_coord: 114, x_right_coord: 117, y_coord: 39
PartNumber: 896   x_left_coord: 134, x_right_coord: 137, y_coord: 39
PartNumber: 342   x_left_coord: 4, x_right_coord: 7, y_coord: 40
PartNumber: 569   x_left_coord: 51, x_right_coord: 54, y_coord: 40
PartNumber: 486   x_left_coord: 56, x_right_coord: 59, y_coord: 40
PartNumber: 278   x_left_coord: 69, x_right_coord: 72, y_coord: 40
PartNumber: 184   x_left_coord: 73, x_right_coord: 76, y_coord: 40
PartNumber: 259   x_left_coord: 85, x_right_coord: 88, y_coord: 40
PartNumber: 107   x_left_coord: 90, x_right_coord: 93, y_coord: 40
PartNumber: 749   x_left_coord: 127, x_right_coord: 130, y_coord: 40
PartNumber: 851   x_left_coord: 22, x_right_coord: 25, y_coord: 41
PartNumber: 16   x_left_coord: 32, x_right_coord: 34, y_coord: 41
PartNumber: 436   x_left_coord: 36, x_right_coord: 39, y_coord: 41
PartNumber: 910   x_left_coord: 40, x_right_coord: 43, y_coord: 41
PartNumber: 338   x_left_coord: 65, x_right_coord: 68, y_coord: 41
PartNumber: 989   x_left_coord: 79, x_right_coord: 82, y_coord: 41
PartNumber: 367   x_left_coord: 98, x_right_coord: 101, y_coord: 41
PartNumber: 867   x_left_coord: 102, x_right_coord: 105, y_coord: 41
PartNumber: 918   x_left_coord: 120, x_right_coord: 123, y_coord: 41
PartNumber: 106   x_left_coord: 17, x_right_coord: 20, y_coord: 42
PartNumber: 99   x_left_coord: 86, x_right_coord: 88, y_coord: 42
PartNumber: 38   x_left_coord: 94, x_right_coord: 96, y_coord: 42
PartNumber: 18   x_left_coord: 107, x_right_coord: 109, y_coord: 42
PartNumber: 550   x_left_coord: 114, x_right_coord: 117, y_coord: 42
PartNumber: 250   x_left_coord: 130, x_right_coord: 133, y_coord: 42
PartNumber: 732   x_left_coord: 45, x_right_coord: 48, y_coord: 43
PartNumber: 53   x_left_coord: 52, x_right_coord: 54, y_coord: 43
PartNumber: 258   x_left_coord: 58, x_right_coord: 61, y_coord: 43
PartNumber: 850   x_left_coord: 65, x_right_coord: 68, y_coord: 43
PartNumber: 306   x_left_coord: 102, x_right_coord: 105, y_coord: 43
PartNumber: 539   x_left_coord: 118, x_right_coord: 121, y_coord: 43
PartNumber: 658   x_left_coord: 0, x_right_coord: 3, y_coord: 44
PartNumber: 869   x_left_coord: 4, x_right_coord: 7, y_coord: 44
PartNumber: 684   x_left_coord: 21, x_right_coord: 24, y_coord: 44
PartNumber: 636   x_left_coord: 25, x_right_coord: 28, y_coord: 44
PartNumber: 422   x_left_coord: 32, x_right_coord: 35, y_coord: 44
PartNumber: 686   x_left_coord: 36, x_right_coord: 39, y_coord: 44
PartNumber: 955   x_left_coord: 71, x_right_coord: 74, y_coord: 44
PartNumber: 313   x_left_coord: 125, x_right_coord: 128, y_coord: 44
PartNumber: 604   x_left_coord: 13, x_right_coord: 16, y_coord: 45
PartNumber: 954   x_left_coord: 45, x_right_coord: 48, y_coord: 45
PartNumber: 357   x_left_coord: 52, x_right_coord: 55, y_coord: 45
PartNumber: 458   x_left_coord: 64, x_right_coord: 67, y_coord: 45
PartNumber: 168   x_left_coord: 85, x_right_coord: 88, y_coord: 45
PartNumber: 310   x_left_coord: 89, x_right_coord: 92, y_coord: 45
PartNumber: 698   x_left_coord: 99, x_right_coord: 102, y_coord: 45
PartNumber: 435   x_left_coord: 114, x_right_coord: 117, y_coord: 45
PartNumber: 394   x_left_coord: 130, x_right_coord: 133, y_coord: 45
PartNumber: 109   x_left_coord: 5, x_right_coord: 8, y_coord: 46
